Country|Name|lat|lng|Altitude
United States|New York City|40.7142691|-74.0059738|2.0
	AURORA PUBLIC LIBRARY	39.7104005	-104.8151612
	VENTURA COUNTY LIBRARY	34.2810623	-119.2908183
	JAMES V BROWN LIBRARY	41.242567	-77.00147
	GRAHAM HOSPITAL ASSOCIATION	40.5528182	-90.0390282
	BELLARMINE UNIVERSITY LIBRARY	38.2192297	-85.7049863
	KENYON COLLEGE	40.3718965	-82.3983079
	EASTERN KENTUCKY UNIVERSITY	37.7353214	-84.298672
	NORTHERN KENTUCKY UNIVERSITY	39.0312035	-84.4625345
	NEWMAN UNIVERSITY	37.673508	-97.377744
	EMPORIA STATE UNIVERSITY	38.413874	-96.180139
	KANSAS STATE UNIVERSITY	39.1974437	-96.5847249
	WASHBURN UNIVERSITY	39.0333113	-95.7017075
	SPALDING UNIVERSITY	38.2414273	-85.7574196
	UNIVERSITY OF LOUISVILLE	38.2122761	-85.7585023
	MURRAY STATE	36.6163842	-88.3214979
	JOHNSON COUNTY LIBRARY	38.9698596	-94.6994656
	KEENE STATE COLLEGE	42.9254972	-72.2803536
	OLATHE PUBLIC LIBRARY	38.8817531	-94.8176701
	TRANSYLVANIA COUNTY LIBRARY	35.2309818	-82.7357602
	LENOIR-RHYNE COLLEGE	35.7414291	-81.3262158
	UNIVERSITY OF NEBRASKA AT KEARNEY	40.7011879	-99.1014292
	WICHITA STATE UNIVERSITY	37.7193933	-97.2928693
	CAMPBELL COUNTY PUBLIC LIBRARY	38.951379	-84.394159
	KENTUCKY STATE UNIVERSITY	38.2002577	-84.8558314
	LAFAYETTE COLLEGE	40.6986202	-75.2087298
	LASALLE UNIVERSITY	40.0387561	-75.1566322
	LOUISIANA STATE UNIV AT ALEXANDRIA	31.178112	-92.4143367
	UNIVERSITY OF NEBRASKA AT LINCOLN	40.8201966	-96.7004763
	AMERICAN UNIVERSITY OF BEIRUT	40.7528385	-73.9689989
	LESLEY COLLEGE	42.3810755	-71.1174864
	MCNEESE STATE UNIVERSITY	30.1783657	-93.215629
	LOYOLA UNIV LIBRARY (NEW ORLEANS)	29.9355109	-90.1202423
	LANDMARK COLLEGE	42.9767642	-72.5118469
	UNIVERSITY OF NEW ORLEANS	30.0285959	-90.0660365
	LOYOLA UNIV MARYLAND & NOTRE DAME OF MARYLAND UNIV	39.3498203	-76.6169704
	LOCK HAVEN UNIVERSITY OF PENNSYLVANIA	41.1423205	-77.4621475
	SOUTHEASTERN LOUISIANA UNIVERSITY	30.5173159	-90.4688572
	SAINT TAMMANY PARISH LIBRARY	30.476904	-90.102905
	LEBANON VALLEY COLLEGE	40.3337415	-76.5150796
	CORALVILLE PUBLIC LIBRARY	41.677298	-91.582062
	CHELSEA DISTRICT LIBRARY	42.3165412	-84.0198648
	SAINT JOSEPHS COLLEGE	43.6002805	-73.0017438
	MASSACHUSETTS SCH OF PROFESSIONAL PSYCHOLOGY	42.2949927	-71.2032348
	MANSFIELD UNIVERSITY LIBRARY	41.8074846	-77.0737268
	BRANDEIS UNIVERSITY	42.3654796	-71.2587009
	CENTRAL MISSOURI STATE UNIVERSITY	38.7580823	-93.7383724
	ENOCH PRATT FREE LIBRARY	39.294555	-76.617217
	UNIVERSITY OF BALTIMORE, LAW LIBRARY	39.3061598	-76.6162325
	MIDDLEBURY COLLEGE	44.0082595	-73.1773152
	MAINE STATE LIBRARY	44.306073	-69.7827403
	MISSISSIPPI STATE UNIVERSITY	33.4551742	-88.7943766
	MINNESOTA SCHOOL OF PROFESSIONAL PSYCHOLOGY	44.837312	-93.173898
	MONTGOMERY COUNTY COMMUNITY COLLEGE	40.1763373	-75.2755938
	MT. HOOD COMMUNITY COLLEGE	45.5146461	-122.3966333
	MANCHESTER COMMUNITY COLLEGE	41.7606485	-72.5619284
	PENN STATE HERSHEY - H127	40.2643702	-76.6747274
	MINUTEMAN LIBRARY NETWORK	42.295995	-71.386693
	MIDDLESEX COMMUNITY COLLEGE LIBRARY	42.6452129	-71.3061428
	MERCER COUNTY LIBRARY	40.2662976	-74.718801
	MONMOUTH UNIVERSITY	40.2804557	-74.0058114
	UNIVERSITY OF MISSOURI, COLUMBIA, HEALTH SCIENCE	38.9398848	-92.3286771
	AUGSBURG COLLEGE	44.9663002	-93.2401366
	CONCORDIA UNIVERSITY/ST. PAUL	44.9490553	-93.1565816
	ST CATHERINE UNIVERSITY LIBRARY	44.9248512	-93.1836173
	WINONA STATE UNIVERSITY	44.0473997	-91.6432837
	BETHEL UNIVERSITY	45.0554785	-93.1659821
	MONTGOMERY COUNTY NORRISTOWN PUBLIC LIBRARY	40.1218759	-75.3403799
	MANKATO STATE UNIVERSITY	44.1458114	-93.9994861
	UNIVERSITY OF ST. THOMAS	44.941751	-93.1914909
	SOUTHWEST STATE UNIVERSITY	44.4560884	-95.759773
	MORAVIAN COLLEGE	40.6308814	-75.3812135
	STEPHENS COLLEGE	38.9515728	-92.3214357
	MASSACHUSETTS COLLEGE OF PHARMACY	42.3367994	-71.101197
	NORTHWEST AREA HEALTH EDUCATION CENTER LIBRARY AT BOONE	36.198777	-81.652227
	MARIETTA COLLEGE	39.4166565	-81.4499351
	MARYLHURST UNIVERSITY	45.3985866	-122.6472524
	MESA PUBLIC LIBRARY	33.4182341	-111.8295668
	MASSASOIT COMMUNITY COLLEGE	42.0756099	-70.9902714
	SAINT CLOUD STATE UNIVERSITY	45.5511864	-94.1515137
	MORGAN STATE UNIVERSITY	39.3437959	-76.5843847
	MOUNT IDA COLLEGE	42.294262	-71.193448
	UNIVERSITY OF MONTANA	46.8600672	-113.9852081
	NAUGATUCK VALLEY COMMUNITY TECHNICAL COLLEGE	41.5498286	-73.0729008
	UNIVERSITY OF MISSOURI, COLUMBIA	38.9403808	-92.3277375
	MARYVILLE UNIVERSITY OF ST. LOUIS	38.644986	-90.504679
	MILLERSVILLE UNIVERSITY LIBRARY	39.9981892	-76.3550635
	MARYLAND INSTITUTE COLLEGE OF ART	39.307555	-76.6216339
	MASSACHUSETTS INSTITUTE OF TECHNOLOGY LIBRARIES	42.3590348	-71.0891378
	UNIVERSITY OF NEVADA, LAS VEGAS, LAW LIBRARY	36.1079277	-115.1399304
	NASSAU LIBRARY SYSTEM	40.695843	-73.585235
	UNIVERSITY OF ALBANY	42.6857636	-73.8243942
	DOANE COLLEGE LIBRARY	40.6224954	-96.9483697
	UNIVERSITY OF NEBRASKA AT OMAHA	41.2582497	-96.0107049
	NEBRASKA METHODIST COLLEGE	41.265533	-96.04837
	CAMDEN COUNTY LIBRARY	39.848129	-75.001197
	UNION COLLEGE	42.8177125	-73.9295987
	NEW CANAAN LIBRARY	41.1456241	-73.4920934
	NORTH DAKOTA STATE LIBRARY	46.8192455	-100.7813545
	NORTHEASTERN UNIVERSITY	42.3398067	-71.0891717
	FARGO PUBLIC LIBRARY	46.8332	-96.827039
	JERICHO PUBLIC LIBRARY	40.793611	-73.535108
	BRYANT LIBRARY	40.798217	-73.646786
	UNIVERSITY OF NORTH CAROLINA, GREENSBORO	36.0689296	-79.8101975
	GARDNER-WEBB UNIVERSITY	35.2475249	-81.6706979
	SYOSSET PUBLIC LIBRARY	40.7987333	-73.5020748
	NEW HAMPSHIRE COMMUNITY-TECH COLLEGE	44.308442	-71.7482221
	UNIVERSITY OF NEW HAMPSHIRE	43.138948	-70.9370252
	UNIVERSITY OF NORTHERN IOWA	42.5133893	-92.4620034
	NEW JERSEY DEPARTMENT OF ENVIRONMENTAL PROTECTION	40.2212788	-74.7561441
	ROWAN UNIVERSITY	39.7098595	-75.1189478
	UNIVERSITY OF MEDICINE AND DENTISTRY OF NEW JERSEY	40.7432716	-74.1921598
	WILLIAM PATERSON COLLEGE	40.9460061	-74.1981377
	NEW JERSEY ILL ACCESS CENTER	40.789695	-74.259107
	RICHARD STOCKTON COLLEGE	39.4941665	-74.5323795
	THE COLLEGE OF NEW JERSEY	40.2683078	-74.7778624
	BAY PATH COLLEGE	42.0558784	-72.5825941
	ELMS COLLEGE	42.1422257	-72.6016769
	UNIVERSITY OF NORTH CAROLINA CHARLOTTE	35.3070929	-80.735164
	SPRINGFIELD COLLEGE	42.1022292	-72.5565631
	NICHOLSON MEMORIAL LIBRARY	32.9148722	-96.6383649
	MIDDLESEX COUNTY COLLEGE	40.5048319	-74.3667479
	DAVIDSON COLLEGE	35.5008018	-80.8446725
	UNIVERSITY OF NEVADE, RENO	39.5441917	-119.816397
	UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL	35.9049122	-79.0469134
	NORTH CAROLINA STATE UNIVERSITY AT RALEIGH LIBRARY	35.7846633	-78.6820946
	NORWICH UNIVERSITY LIBRARY	44.1369851	-72.6602774
	NATIONAL RESEARCH COUNCIL LIBRARY	45.443858	-75.6195916
	NEW YORK CENTER FOR AGRICULTURAL MEDICINE & HEALTH LIBRARY	42.717838	-74.9787202
	GUILFORD COLLEGE	36.0917988	-79.8887399
	UNIVERSITY OF IOWA LIBRARY	41.659548	-91.5384411
	LAS VEGAS-CLARK COUNTY LIBRARY DISTRICT	36.1952731	-115.1543178
	SIERRA NEVADA COLLEGE	39.244983	-119.937574
	NEVADA STATE LIBRARY AND ARCHIVES	39.1638936	-119.7648587
	MORRIS COUNTY LIBRARY	40.806441	-74.452471
	NORTH DAKOTA STATE UNIVERSITY	46.8962434	-96.8031712
	HOPKINTON TOWN LIBRARY	43.223245	-71.72023
	WAKE COUNTY PUBLIC LIBRARY	35.789611	-78.6579744
